district,year,month,month_name,total_radiation_MJ_m2,radiation_above_15MJ_m2,percentage_above_15MJ,days_in_month
Kalutara,2021,8,August,544.21,477.44,87.73,31
Kalutara,2021,9,September,538.15,473.39,87.97,30
Kalutara,2021,10,October,552.37,467.49,84.63,31
Kalutara,2021,11,November,439.35,267.67,60.92,30
Kalutara,2021,12,December,607.67,583.58,96.04,31
Kalutara,2022,1,January,653.52,653.52,100.0,31
Kalutara,2022,2,February,618.01,603.69,97.68,28
Kalutara,2022,3,March,675.21,675.21,100.0,31
Kalutara,2022,4,April,612.3,599.26,97.87,30
Kalutara,2022,5,May,525.04,449.99,85.71,31
Kalutara,2022,6,June,513.38,429.14,83.59,30
Kalutara,2022,7,July,591.73,540.75,91.38,31
Kalutara,2022,8,August,592.45,508.88,85.89,31
Kalutara,2022,9,September,629.04,607.8,96.62,30
Kalutara,2022,10,October,529.76,362.33,68.4,31
Kalutara,2022,11,November,539.34,468.74,86.91,30
Kalutara,2022,12,December,523.86,434.58,82.96,31
Kalutara,2023,1,January,612.33,598.89,97.81,31
Kalutara,2023,2,February,587.31,544.39,92.69,28
Kalutara,2023,3,March,691.31,676.89,97.91,31
Kalutara,2023,4,April,661.3,647.02,97.84,30
Kalutara,2023,5,May,554.07,447.99,80.85,31
Kalutara,2023,6,June,535.9,507.15,94.64,30
Kalutara,2023,7,July,586.63,510.92,87.09,31
Kalutara,2023,8,August,693.05,693.05,100.0,31
Kalutara,2023,9,September,483.53,299.93,62.03,30
Kalutara,2023,10,October,509.26,408.97,80.31,31
Kalutara,2023,11,November,490.1,389.49,79.47,30
Kalutara,2023,12,December,497.47,362.89,72.95,31
Kalutara,2024,1,January,591.85,557.21,94.15,31
Kalutara,2024,2,February,652.92,652.92,100.0,29
Kalutara,2024,3,March,736.86,736.86,100.0,31
Kalutara,2024,4,April,658.27,658.27,100.0,30
Kalutara,2024,5,May,524.41,417.71,79.65,31
Kalutara,2024,6,June,142.11,119.88,84.36,8
Kandy,2010,1,January,550.39,476.24,86.53,31
Kandy,2010,2,February,561.13,505.26,90.04,28
Kandy,2010,3,March,695.38,695.38,100.0,31
Kandy,2010,4,April,591.8,569.1,96.16,30
Kandy,2010,5,May,542.85,485.34,89.41,31
Kandy,2010,6,June,529.01,476.66,90.1,30
Kandy,2010,7,July,551.35,475.83,86.3,31
Kandy,2010,8,August,518.78,406.47,78.35,31
Kandy,2010,9,September,506.43,394.99,77.99,30
